length	ct_index	w_count	hard0	hard30	hard50	all_count
114	6	397.7287	25	20	14	4575
114	7	890.3451	1670	1147	73	4575
114	8	145.6726	7	7	6	4575
114	9	264.8721	40	20	10	4575
114	10	175.3699	11	8	6	4575
115	1	442.1848	60	24	10	4361
115	2	167.7813	23	21	15	4361
115	3	1648.2894	2574	2134	1202	4361
115	4	89.1206	5	5	2	4361
115	5	198.5117	13	12	8	4361
115	6	382.1338	28	25	18	4361
115	7	860.1677	1586	1103	81	4361
115	8	145.2864	12	12	9	4361
115	9	252.3780	40	20	14	4361
115	10	175.1454	20	15	12	4361
116	1	442.3264	53	27	13	4449
116	2	161.9282	10	8	5	4449
116	3	1702.6192	2645	2193	1276	4449
116	4	92.5319	4	4	4	4449
116	5	202.5243	15	15	11	4449
116	6	389.3045	24	22	18	4449
116	7	877.3074	1616	1139	88	4449
116	8	147.8718	15	14	13	4449
116	9	255.9269	50	23	16	4449
116	10	176.6597	17	10	8	4449
117	1	442.1117	50	22	12	4480
117	2	160.4406	8	8	7	4480
117	3	1724.7188	2676	2223	1298	4480
117	4	89.0251	1	1	0	4480
117	5	203.3548	14	13	10	4480
117	6	388.5444	27	20	10	4480
117	7	890.8360	1620	1188	79	4480
117	8	147.5862	15	15	13	4480
117	9	258.4271	50	29	16	4480
117	10	174.9545	19	13	12	4480
118	1	486.2997	68	34	13	4804
118	2	183.2550	24	20	18	4804
118	3	1836.2878	2819	2347	1361	4804
118	4	98.7468	4	4	4	4804
118	5	217.4331	10	10	5	4804
118	6	418.5548	28	25	14	4804
118	7	957.2195	1775	1234	91	4804
118	8	151.0836	8	7	5	4804
118	9	271.6652	55	24	11	4804
118	10	183.4544	13	10	7	4804
119	1	536.4416	73	40	23	5333
119	2	201.7520	19	17	15	5333
119	3	2042.1756	3177	2650	1529	5333
119	4	107.3008	1	1	1	5333
119	5	242.6262	15	14	11	5333
119	6	461.3566	22	18	7	5333
119	7	1065.2878	1955	1389	103	5333
119	8	174.8732	11	11	11	5333
119	9	299.4733	47	23	12	5333
119	10	201.7122	13	11	4	5333
120	1	620.2133	78	39	25	6114
120	2	227.8145	23	20	15	6114
120	3	2360.1568	3703	3048	1781	6114
120	4	123.0114	4	4	3	6114
120	5	279.8780	19	19	12	6114
120	6	524.9153	33	26	14	6114
120	7	1194.7011	2153	1496	107	6114
120	8	195.6165	13	13	12	6114
120	9	356.5440	70	38	22	6114
120	10	231.1468	18	10	6	6114
121	1	738.2794	99	38	21	7332
121	2	284.9505	34	31	22	7332
121	3	2761.4487	4228	3533	2005	7332
121	4	149.3592	2	2	2	7332
121	5	334.3912	16	16	13	7332
121	6	644.3471	36	30	25	7332
121	7	1479.3839	2817	1961	126	7332
121	8	237.6519	13	12	12	7332
121	9	419.3836	63	30	17	7332
121	10	282.8046	24	18	12	7332
122	1	914.5131	98	55	28	9054
122	2	337.6624	21	16	9	9054
122	3	3447.7196	5329	4416	2508	9054
122	4	187.4088	3	3	2	9054
122	5	416.3346	24	23	16	9054
122	6	787.2594	36	32	17	9054
122	7	1792.4665	3405	2345	134	9054
122	8	298.5112	21	18	14	9054
122	9	523.9710	85	33	21	9054
122	10	348.1535	32	24	18	9054
123	1	1035.1893	129	58	26	10187
123	2	388.7126	44	38	27	10187
123	3	3799.7189	5844	4814	2703	10187
123	4	209.9619	12	12	9	10187
123	5	467.4721	20	19	15	10187
123	6	899.5144	49	44	22	10187
123	7	2101.1808	3949	2776	189	10187
123	8	328.8461	23	21	19	10187
123	9	577.2805	92	51	26	10187
123	10	379.1248	25	18	9	10187
124	1	980.9356	111	44	15	9722
124	2	373.2880	32	24	22	9722
124	3	3617.2329	5564	4579	2568	9722
124	4	204.0562	16	16	12	9722
124	5	449.0463	23	23	15	9722
124	6	864.6683	59	54	31	9722
124	7	1989.5818	3771	2660	176	9722
124	8	316.4228	18	15	12	9722
124	9	553.6453	98	45	32	9722
124	10	373.1220	30	18	12	9722
125	1	806.9443	104	40	25	7927
125	2	299.9504	22	18	16	7927
125	3	2962.2126	4497	3673	2125	7927
125	4	161.0559	7	7	4	7927
125	5	366.4362	26	25	17	7927
125	6	709.2416	46	38	23	7927
125	7	1620.2528	3120	2154	159	7927
125	8	252.7944	13	12	10	7927
125	9	441.5362	60	34	22	7927
125	10	306.5748	32	22	14	7927
126	1	711.7400	102	58	33	6979
126	2	265.3048	27	19	18	6979
126	3	2628.1809	4013	3336	1905	6979
126	4	140.6821	2	2	1	6979
126	5	313.4612	14	11	10	6979
126	6	618.5222	48	41	25	6979
126	7	1405.8783	2668	1865	117	6979
126	8	220.0374	2	2	2	6979
126	9	393.2527	66	38	25	6979
126	10	281.9406	37	27	20	6979
127	1	688.9314	94	45	26	6874
